User;Comment;Time;Likes
@itsyellow;Mercedes-Benz is still making amazing commercials to this very day, that I still watch. This commercial was released 9 years ago. MAGIC BODY CONTROL has only gotten better since then and is still amazing! Love you Mercedes!;7 months ago;
@alexmercer3001;This ad never gets old. The ingenuity lies in its simplicity.;8 months ago;2
@ravenix6130;The best commercial I've ever seen. Improves the mood instantly! ;4 months ago (edited);6
@friday5303;Other companies - We need super models and social influencers to promote our products.Mercedes  - Hold the chicken.;2 years ago;5.2K
@fleeingcombgaming;I own chickens in real life, so the fact I got this recommended, and that a commercial like this actually exist is amazing! Great job Mercedes!;1 year ago;7
@BlueDecember06;I honestly think this as both a commercial and a YouTube video will never get old;9 months ago;14
@danielaustin2215;Such a good commercial Its one of those commercials that you will never forget. The marketing team did good on this one!;3 months ago;
@lgz2006;This is so funny yet rather elegant at the same time, and it makes sense once knowing what Mercedes is looking for from those chickens.;1 year ago;7
@FlameoftheWest;Honestly one of the most well-made commercials I've ever seen. Bravo!;4 months ago;
;An awkward video to watch while eating Chick Fil A.;2 years ago;884
@thenrfor;9 years later and still a banger;13 days ago;
@ttp1384;This commercial was so far out it will never be topped again.. Simply a classic..;3 months ago;2
@C.T.K;10 years later and this commercial is still awesome. Bravo Mercedes-Benz!;2 weeks ago;
@the_ixeno7574;"One word for this ad ""Amazing"". I absolutely love it. It's crazy how time flies..";10 months ago;1
@CheakMyViewsItsMoreThen33000;The fact that Mercedes is still giving hearts after 9 years is amazing;3 months ago;10
@funnybloke;They should do this again sometime, one of my favourite vehicle adverts I’ve seen;2 years ago;935
@triggerkiller39accountowner;Hands down best commercial for a car brand;3 weeks ago;2
@Supra_Dealer;9 years and counting. Still best advertisment ever made.;3 months ago (edited);
@anubhavrathore47;The serenity and depth in the ad makes it just awesome.... The perfect depiction of what Mercedes offers....;2 weeks ago;
@_BL4CKB1RD_;Even 9 years later, this ad is still impressive;3 months ago;2
@yasminebou7407;Honestly this id the best advertising I’ve ever watched.;2 years ago;3.4K
@lujuanah;This is some quality after 7 years! If they put this in a commercial I will laugh my ass off;9 months ago;21
@putinisgod6814;Probably the best most iconic Commercial ever. I mean I even grew up with it running in the television;3 weeks ago;
@kacperuski9896;It's a shame there aren't any ads like this anymore;3 months ago;3
@soham__palit;At first I was in doubt whether to go for Mercedes or Bmw as my first car.... But after seeing this ad I am totally convinced to go for Mercedes.... This ad is really a master piece. Great work Mercedes......;7 months ago (edited);1
@manggalaarifano;Honestly one of the best car ads ever, even after 9 years i still came back to watch this ad, hats off to you mercedes;3 months ago;
@AmirAli1.w;YouTube should add this in those unskippable ads from now;2 years ago;2.1K
@Omakori;This song has never rang the same since I saw this advert. I listen to it, I also watch the advert. Fabulous!;2 months ago;5
@bruuh814;This is what I would call a good add. It's eye catching. And most importantly, something that you'll remember. And also funny. I hope more compannys will do things like this.;9 months ago;
@rajdeepmitra7972;I saw this ad at 2015 from then till this day almost 6 years went by now i was recommended this ad again and i am shocked to see that the craze of this ad is as same as it was earlier This advertisement is never gonna die i swear;3 months ago;
@Delta132;Sometimes car companies are really creative and humorous with their commercials instead of a generic ad, this is a prime example of that, nice job;3 months ago;1
@rascaljoy;Imagine filming this commercial, I would NOT be able to stop laughing. ;3 weeks ago;4
@TeddieSedefcheva;My favorite ad!;3 years ago;2.3K
@cankabayel;The most simple yet so effective AD I have ever seen. Well done Mercedes team.;5 months ago;
@remi609;Now I understand why my dad bought a Mercedes. I respect his choice this ad proves impeccable quality and stability. Amazing.;3 months ago;
@adityarana2;I remember watching this ad when it first came out so nostalgic !!;4 months ago;1
@pineapplepizza5733;Just saw this incredible ad again, it never gets old;3 months ago;2
@matrixmax5585;This will never die. Great!;3 months ago;3
@kopfkino1785;This will easily always be one of my favourite car adverts that I’ve ever seen...;3 years ago;168
@MostafaAhmedAhmed81;Oh my God. My kids hurried to our chickens to try it. I experienced it way back when I was kid, but never knew they don’t know it. Perfect ad.;8 months ago;
@profitprophets1363;The idea that this was pitched and then was so perfect, from the pairs of hands to the close up of chicken face, i love every pixel.;3 weeks ago (edited);
@curtisalkondo;I feel sorry for people who are not aware of this ad. You missed a lot, excellent chickens! You're amazing, Mercedes.;1 month ago;
@justinewhite-hadley3138;Omg!!! I'm crying laughing!! As a chicken momma this just Cracks me up!!!! They do this! I love to make them dance and see their heads stay in one spot ;1 month ago;
@dogyX3;I remember this ad. Definitely one of my favourites;3 months ago;2
@spikeyson174;The only company that give hearts to people ever after 7 years but even after 7 years I cant afford a Mercedes;2 years ago;1.1K
@noahdement9271;As a chicken owner and a Mercedes owner, I gotta say this is a masterpiece;8 months ago;1
@ZadesLegacy;This is SO much better then watching some random person talking over clips of a car driving on dirt roads. It's creative, funny, and attention grabbing. I really wish advertising was done more like this.;10 months ago;1
@haripriyaadamodar5698;I have come back to this a million times and this never fails to amaze me.;1 month ago;
@creepyredacted6071;I drive a 1996 Mercedes e230 w210 2.3 petrol. I have to say even if it's a older car, still to this very day it's stable/safe/ and extremely easy to operate. No car brand in the world can make it elegantly like mercedes. Thank you for everything that you people do, truly a masterpiece that can never die. MERCEDES FOR LIFEEEEEEE!!!;3 months ago;
@Juicethechild;This commercial is true to life. Mercedes cars are just so special to drive.;4 months ago;1
@zbynekzapletal5514;This is perfect. We need more commercials like this in this time and age.;2 years ago;35
@Paradoxical124;One of the most ingenious ad choices by far, well done.;8 months ago;
@theripperandtearer6598;You cant just say that this ad isnt funny. This is just a masterpiece;8 months ago;1
@templarknight4952;This is one of those commercials that have barely anything to do with the brand it comes from, but still it convinces you to one day own a Mercedes. That’s what you call advertising.;5 months ago;1
@rishitsinha8041;I miss those days when we used to have such great and creative ads, this is one of those masterpiece.;10 months ago;2
@yoonseongdo3303;still one of the best commercials;3 months ago;1
@rafaelsaez5596;This is the ONLY ad that i wouldn't skip. This is a freaking gem, and i love it;2 years ago;162
@treehugger2943;I remember doing this with my chicken a few years ago and i wondered how could it keep its head on the same spot. And today i discovered this brilliant add by Mercedes Benz ;11 months ago;1
@RagingWiener;I cannot believe I missed this masterpiece for 8yrs;1 year ago;19
@infamous6283;Still the best car commercial has yet to be outdone;2 months ago;
@melloo777;this was a really creative approach to make an advertisement lol. this gonna be one of my favorite ads ;3 months ago;
@shreddedbagelwabiwabo8342;This ad so so good, man I'd never skip that;3 weeks ago;
@therealturkeylord8523;I wish companies still made ads like these. Creative, funny, and innovative.;2 years ago;296
@Mlippy;Best ad ever made. Also a good way to showcase the feature;10 months ago;3
@itsplatinum5265;Simple and to the point. Of all animals, Mercedes-Benz, a world class car company, uses chickens to convey a point. And it works. 10/10 still in 2022;1 year ago;
@plokoon8865;One of the best ads I have ever seen. I still come here to see this masterpiece.;3 months ago (edited);3
@mahmoudmohebbi8375;This was made 8 years back and still rocks! Very smart Adv;9 months ago;
@teenzset8827;Easily in my top 3 best commercials of all time;3 weeks ago;2
@kjora253;When your advert hits home with minimal explanation and without even showing the product, then it is a true masterpiece. Still love it, even after all this time.;1 year ago;452
@toastyeeter;This is objectively one of the best car adverts ever made;11 months ago;
@EpicBronyCOD;This is how you do an advert! Simple explanation of the product in a humorous way, perfect!;8 months ago;
@LewisHamilton44ver;You guys are legendsThat made me laugh so hard;1 month ago;1
@skyboss8559;Brings back old memories  it was so funny at that time but now it is a bit nostalgic ️️️;9 months ago;
@zarrarbaloch7600;I always loved the creativity in Mercedes-Benz adverts. Always top notch.;3 months ago;1
@GhandisEvilTwin;Watching a chicken for 52 seconds made me buy a Mercedes. Thank you.;9 years ago;2.5K
@utkuylmaz6593;This commercial was and is amazing. And the fact that mercedes still replies to commnets is even more amazing. ;10 months ago;1
@mr.g8815;Still love this ad after 9 years the coolest ad i've ever seen;8 months ago;
@LEGENDFR;As Expected, Creativity on its peak. No-one can come even closer;3 months ago;1
@vectorrr6411;The fact that they still give hearts 8 years later makes me realise how cool Mercedes Benz are;9 months ago;
@sham8816;How genius to use chickens and never even shown a Benz and still makes me want to buy one. Perfection!;5 months ago;
@shivamgagad5674;So they use chickens in their stability control;4 years ago;34K
@Derek21701;I love it when car companies go full on Super Bowl Halftime Mode on their ads, it is always entertaining;3 months ago;1
@ElegidoUno1;Absolutely mesmerizing. Great job Mercedes ;3 months ago;
@ismailbicer3257;This ad kept going on in my head as I was looking for a new car. It's true, once you drive a Mercedes you don't want to drive another.;5 months ago;
@Sol-cf9ko;Mercedes know what they're doing, there's a reason their cars are phenomenal.;9 months ago;5
@thebigboynoob7543;Amazing ad I remember watching this a long time ago glad to see its still getting attention.;2 months ago;
@mtrfckrs;Could be one of the best commercials ever made.;2 years ago;454
@VarunSrinivas;I thought that this would be another gimmick offered by manufacturers.. but man, Mercedes knows what they are doing with their suspension.... never been more comfortable on a car ;8 months ago;
@aswincvenu3958;This is truly one of the commercials of all time;9 months ago;
@paulluthi3880;What. Great ad! Smiled and laughed through the whole thing!;7 months ago;
@sujeeewanihapuarachchi8821;They gotta do more of this ITS AMAZING:D;10 months ago;1
@victoramaral2291;Te amo Mercedes , abraço do Brasil 🇧🇷;3 weeks ago;1
@shigrakumar;Just now, after seven years I got this recommended, I missed a masterpiece & This is the best advertisement I’ve ever seen, hands down and also one of the cutest commercial ever made;2 years ago;625
@nuttyeattacos6237;Still beening my favorite commercial since i was a kid;10 months ago;
@kittvskarrkr6074;I love how tame the chickens are. And how gentle they are with them too. TikTokers smash the chicken to dance;11 months ago;
@i3grom-tx8je;One of the best ads I've seen on YouTube...I can't wait to see a similar ad from Mercedes;3 months ago;1
@samcollins3964;Hands down the best advert ever and makes me glad to own a Mercedes;8 months ago;
@shakesnbake;Still an incredible ad 9 years latee! ;3 months ago;
